1,The Magician,"Skill, diplomacy, address, subtlety; sickness, pain, loss, disaster, snares of enemies; self-confidence, will; the Querent, if male.","Physician, Magus, mental disease, disgrace, disquiet.",1
2,The High Priestess,"Secrets, mystery, the future as yet unrevealed; the woman who interests the Querent, if male; the Querent herself, if female; silence, tenacity; mystery, wisdom, science.","Passion, moral or physical ardour, conceit, surface knowledge.",1
3,The Empress,"Fruitfulness, action, initiative, length of days; the unknown, clandestine; also difficulty, doubt, ignorance.","Light, truth, the unravelling of involved matters, public rejoicings; according to another reading, vacillation.",1
4,The Emperor,"Stability, power, protection, realization; a great person; aid, reason, conviction; also authority and will.","Benevolence, compassion, credit; also confusion to enemies, obstruction, immaturity.",1
5,The Hierophant,"Marriage, alliance, captivity, servitude; by another account, mercy and goodness; inspiration; the man to whom the Querent has recourse.","Society, good understanding, concord, overkindness, weakness.",1
6,The Lovers,"Attraction, love, beauty, trials overcome.","Failure, foolish designs. Another account speaks of marriage frustrated and contrarieties of all kinds.",1
7,The Chariot,"Succour, providence also war, triumph, presumption, vengeance, trouble.","Riot, quarrel, dispute, litigation, defeat.",1
8,Strength,"Power, energy, action, courage, magnanimity; also complete success and honours.","Despotism, abuse if power, weakness, discord, sometimes even disgrace.",1
9,The Hermit,"Prudence, circumspection; also and especially treason, dissimulation, roguery, corruption.","Concealment, disguise, policy, fear, unreasoned caution.",1
10,Wheel Of Fortune,"Destiny, fortune, success, elevation, luck, felicity.","Increase, abundance, superfluity.",1
11,Justice,"Equity, rightness, probity, executive; triumph of the deserving side in law.","Law in all its departments, legal complications, bigotry, bias, excessive severity.",1
12,The Hanged Man,"Wisdom, circumspection, discernment, trials, sacrifice, intuition, divination, prophecy.","Selfishness, the crowd, body politic.",1
13,Death,"End, mortality, destruction, corruption also, for a man, the loss of a benefactor for a woman, many contrarieties; for a maid, failure of marriage projects.","Inertia, sleep, lethargy, petrifaction, somnambulism; hope destroyed.",1
14,Temperance,"Economy, moderation, frugality, management, accommodation.","Things connected with churches, religions, sects, the priesthood, sometimes even the priest who will marry the Querent; also disunion, unfortunate combinations, competing interests.",1
15,The Devil,"Ravage, violence, vehemence, extraordinary efforts, force, fatality; that which is predestined but is not for this reason evil.","Evil fatality, weakness, pettiness, blindness.",1
16,The Tower,"Misery, distress, indigence, adversity, calamity, disgrace, deception, ruin. It is a card in particular of unforeseen catastrophe.","According to one account, the same in a lesser degree also oppression, imprisonment, tyranny.",1
17,The Star,"Loss, theft, privation, abandonment; another reading says-hope and bright prospects,","Arrogance, haughtiness, impotence.",1
18,The Moon,"Hidden enemies, danger, calumny, darkness, terror, deception, occult forces, error.","Instability, inconstancy, silence, lesser degrees of deception and error.",1
19,The Sun,"Material happiness, fortunate marriage, contentment.",The same in a lesser sense.,1
20,Judgment,"Change of position, renewal, outcome. Another account specifies total loss though lawsuit.","Weakness, pusillanimity, simplicity; also deliberation, decision, sentence.",1
21,The Fool,"Folly, mania, extravagance, intoxication, delirium, frenzy, bewrayment.","Negligence, absence, distribution, carelessness, apathy, nullity, vanity.",1
22,The World,"Assured success, recompense, voyage, route, emigration, flight, change of place.","Inertia, fixity, stagnation, permanence.",1
23,Page of Wands,"Dark young man, faithful, a lover, an envoy, a postman. Beside a man, he will bear favourable testimony concerning him. A dangerous rival, if followed by the Page of Cups. Has the chief qualities of his suit. He may signify family intelligence.","Anecdotes, announcements, evil news. Also indecision and the instability which accompanies it.",0
24,Knight of Wands,"Departure, absence, flight, emigration. A dark young man, friendly. Change of residence.","Rupture, division, interruption, discord.",0
25,Queen of Wands,"A dark woman, countrywoman, friendly, chaste, loving, honourable. If the card beside her signifies a man, she is well disposed towards him; if a woman, she is interested in the Querent. Also, love of money, or a certain success in business.","Good, economical, obliging, serviceable. Signifies also--but in certain positions and in the neighbourhood of other cards tending in such directions--opposition, jealousy, even deceit and infidelity.",0
26,King of Wands,"Dark man, friendly, countryman, generally married, honest and conscientious. The card always signifies honesty, and may mean news concerning an unexpected heritage to fall in before very long.","Good, but severe; austere, yet tolerant.",0
27,Ace of Wands,"Creation, invention, enterprise, the powers which result in these; principle, beginning, source; birth, family, origin, and in a sense the virility which is behind them; the starting point of enterprises; according to another account, money, fortune, inheritance.","Fall, decadence, ruin, perdition, to perish also a certain clouded joy.",0
28,Two of Wands,"Between the alternative readings there is no marriage possible; on the one hand, riches, fortune, magnificence; on the other, physical suffering, disease, chagrin, sadness, mortification. The design gives one suggestion; here is a lord overlooking his dominion and alternately contemplating a globe; it looks like the malady, the mortification, the sadness of Alexander amidst the grandeur of this world's wealth.","Surprise, wonder, enchantment, emotion, trouble, fear.",0
29,Three of Wands,"He symbolizes established strength, enterprise, effort, trade, commerce, discovery; those are his ships, bearing his merchandise, which are sailing over the sea. The card also signifies able co-operation in business, as if the successful merchant prince were looking from his side towards yours with a view to help you.","The end of troubles, suspension or cessation of adversity, toil and disappointment.",0
30,Four of Wands,"They are for once almost on the surface--country life, haven of refuge, a species of domestic harvest-home, repose, concord, harmony, prosperity, peace, and the perfected work of these.","The meaning remains unaltered; it is prosperity, increase, felicity, beauty, embellishment.",0
31,Five of Wands,"Imitation, as, for example, sham fight, but also the strenuous competition and struggle of the search after riches and fortune. In this sense it connects with the battle of life. Hence some attributions say that it is a card of gold, gain, opulence.","Litigation, disputes, trickery, contradiction.",0
32,Six of Wands,"The card has been so designed that it can cover several significations; on the surface, it is a victor triumphing, but it is also great news, such as might be carried in state by the King's courier; it is expectation crowned with its own desire, the crown of hope, and so forth.","Apprehension, fear, as of a victorious enemy at the gate; treachery, disloyalty, as of gates being opened to the enemy; also indefinite delay.",0
33,Seven of Wands,"It is a card of valour, for, on the surface, six are attacking one, who has, however, the vantage position. On the intellectual plane, it signifies discussion, wordy strife; in business--negotiations, war of trade, barter, competition. It is further a card of success, for the combatant is on the top and his enemies may be unable to reach him.","Perplexity, embarrassments, anxiety. It is also a caution against indecision.",0
34,Eight of Wands,"Activity in undertakings, the path of such activity, swiftness, as that of an express messenger; great haste, great hope, speed towards an end which promises assured felicity; generally, that which is on the move; also the arrows of love.","Arrows of jealousy, internal dispute, stingings of conscience, quarrels; and domestic disputes for persons who are married.",0
35,Nine of Wands,"The card signifies strength in opposition. If attacked, the person will meet an onslaught boldly; and his build shews, that he may prove a formidable antagonist. With this main significance there are all its possible adjuncts--delay, suspension, adjournment.","Obstacles, adversity, calamity.",0
36,Ten of Wands,"A card of many significances, and some of the readings cannot be harmonized. I set aside that which connects it with honour and good faith. The chief meaning is oppression simply, but it is also fortune, gain, any kind of success, and then it is the oppression of these things. It is also a card of false-seeming, disguise, perfidy. The place which the figure is approaching may suffer from the rods that he carries. Success is stultified if the Nine of Swords follows, and if it is a question of a lawsuit, there will be certain loss.","Contrarieties, difficulties, intrigues, and their analogies.",0
37,Page of Cups,"Fair young man, one impelled to render service and with whom the Querent will be connected; a studious youth; news, message; application, reflection, meditation; also these things directed to business.","Taste, inclination, attachment, seduction, deception, artifice.",0
38,Knight of Cups,"Arrival, approach--sometimes that of a messenger; advances, proposition, demeanour, invitation, incitement.","Trickery, artifice, subtlety, swindling, duplicity, fraud.",0
